nlc,station_name,easting,northing,lines,network,london_underground,elizabeth_line,london_overground,dlr,zone,longitude,latitude
680,"QUEEN'S PARK",524547,183200,"Bakerloo, London Overground","London Underground",Yes,,Yes,,2,-0.200000,51.530000
681,QUEENSWAY,525903,180594,Central,"London Underground",Yes,,,,1,-0.190000,51.510000
682,"RAVENSCOURT PARK",522571,178722,District,"London Underground",Yes,,,,2,-0.230000,51.490000
683,"RAYNERS LANE",512953,187515,"Metropolitan, Piccadilly","London Underground",Yes,,,,5,-0.370000,51.570000
684,REDBRIDGE,541834,188358,Central,"London Underground",Yes,,,,4,0.050000,51.580000
685,"REGENT'S PARK",528699,182113,Bakerloo,"London Underground",Yes,,,,1,-0.140000,51.520000
686,RICHMOND,518077,175161,"District, London Overground","London Underground",Yes,,Yes,,4,-0.300000,51.460000
687,RICKMANSWORTH,505716,194601,Metropolitan,"London Underground",Yes,,,,7,-0.470000,51.640000
688,"RODING VALLEY",541590,192895,Central,"London Underground",Yes,,,,4,0.050000,51.620000
690,"ROYAL OAK",525834,181571,"Circle, Hammersmith & City","London Underground",Yes,,,,2,-0.190000,51.520000
691,RUISLIP,509474,187004,"Metropolitan, Piccadilly","London Underground",Yes,,,,6,-0.420000,51.570000
692,"RUISLIP GARDENS",510266,185852,Central,"London Underground",Yes,,,,5,-0.410000,51.560000
693,"RUISLIP MANOR",510160,187262,"Metropolitan, Piccadilly","London Underground",Yes,,,,6,-0.410000,51.570000
694,"RUSSELL SQUARE",530229,182128,Piccadilly,"London Underground",Yes,,,,1,-0.120000,51.520000
695,"ST. JAMES'S PARK",529647,179498,"Circle, District","London Underground",Yes,,,,1,-0.130000,51.500000
696,"ST. JOHN'S WOOD",526735,183391,Jubilee,"London Underground",Yes,,,,2,-0.170000,51.530000
697,"ST. PAUL'S",532108,181274,Central,"London Underground",Yes,,,,1,-0.100000,51.510000
698,"SEVEN SISTERS",533643,188931,"London Overground, Victoria","London Underground",Yes,,Yes,,3,-0.070000,51.580000
700,"SHEPHERD'S BUSH LU",523720,179884,Central,"London Underground",Yes,,,,2,-0.220000,51.500000
702,"SLOANE SQUARE",528091,178655,"Circle, District","London Underground",Yes,,,,1,-0.150000,51.490000
703,SNARESBROOK,540157,188804,Central,"London Underground",Yes,,,,4,0.020000,51.580000
704,"SOUTH EALING",517575,179354,Piccadilly,"London Underground",Yes,,,,3,-0.310000,51.500000
705,SOUTHFIELDS,524726,173313,District,"London Underground",Yes,,,,3,-0.210000,51.440000
706,SOUTHGATE,529676,194265,Piccadilly,"London Underground",Yes,,,,4,-0.130000,51.630000
707,"SOUTH HARROW",514321,186361,Piccadilly,"London Underground",Yes,,,,5,-0.350000,51.560000
708,"SOUTH KENSINGTON",526918,178820,"District, Piccadilly, Circle","London Underground",Yes,,,,1,-0.170000,51.490000
709,"SOUTH KENTON",517336,187060,"Bakerloo, London Overground","London Underground",Yes,,Yes,,4,-0.310000,51.570000
710,"SOUTH RUISLIP",511097,185434,Central,"London Underground",Yes,,,,5,-0.400000,51.560000
711,"SOUTH WIMBLEDON",525736,169989,Northern,"London Underground",Yes,,,,"3,4",-0.190000,51.410000
712,"SOUTH WOODFORD",540536,190063,Central,"London Underground",Yes,,,,4,0.030000,51.590000
713,"STAMFORD BROOK",521859,178789,District,"London Underground",Yes,,,,2,-0.240000,51.490000
714,STANMORE,517563,192573,Jubilee,"London Underground",Yes,,,,5,-0.300000,51.620000
715,"STEPNEY GREEN",535621,182136,"District, Hammersmith & City","London Underground",Yes,,,,2,-0.040000,51.520000
716,STOCKWELL,530460,176433,"Northern, Victoria","London Underground",Yes,,,,2,-0.120000,51.470000
717,"STONEBRIDGE PARK",519616,184218,"Bakerloo, London Overground","London Underground",Yes,,Yes,,3,-0.270000,51.540000
718,"CHARING CROSS LU",530058,180378,"Bakerloo, Northern","London Underground",Yes,,,,1,-0.130000,51.510000
719,STRATFORD,538530,184395,"Central, DLR, Jubilee, London Overground, TfL Rail","London Underground",Yes,Yes,Yes,Yes,"2,3",0.000000,51.540000
720,"SUDBURY HILL",515412,185542,Piccadilly,"London Underground",Yes,,,,4,-0.340000,51.560000
721,"SUDBURY TOWN",516875,184890,Piccadilly,"London Underground",Yes,,,,4,-0.310000,51.550000
723,"SWISS COTTAGE",526664,184335,Jubilee,"London Underground",Yes,,,,2,-0.170000,51.540000
724,TEMPLE,530959,180803,"Circle, District","London Underground",Yes,,,,1,-0.110000,51.510000
725,"THEYDON BOIS",545542,199101,Central,"London Underground",Yes,,,,6,0.100000,51.670000
726,"TOOTING BEC",528047,172374,Northern,"London Underground",Yes,,,,3,-0.160000,51.440000
727,"TOOTING BROADWAY",527434,171443,Northern,"London Underground",Yes,,,,3,-0.170000,51.430000
728,"TOTTENHAM COURT ROAD",529815,181382,"Central, Northern, TfL Rail","London Underground",Yes,Yes,,,1,-0.130000,51.520000
729,"TOTTENHAM HALE LU",534484,189471,Victoria,"London Underground",Yes,,,,3,-0.060000,51.590000
730,"TOTTERIDGE & WHETSTONE",526120,193989,Northern,"London Underground",Yes,,,,4,-0.180000,51.630000
731,"TOWER HILL",533579,180755,"Circle, District","London Underground",Yes,,,,1,-0.070000,51.510000
733,"TUFNELL PARK",529149,185860,Northern,"London Underground",Yes,,,,2,-0.140000,51.560000
734,"TURNHAM GREEN",521266,178779,"District, Piccadilly","London Underground",Yes,,,,"2,3",-0.250000,51.490000
735,"TURNPIKE LANE",531513,189638,Piccadilly,"London Underground",Yes,,,,3,-0.100000,51.590000
736,UPMINSTER,556146,186868,"District, London Overground","London Underground",Yes,,Yes,,6,0.250000,51.560000
737,"UPMINSTER BRIDGE",555088,186770,District,"London Underground",Yes,,,,6,0.240000,51.560000
738,UPNEY,545846,184254,District,"London Underground",Yes,,,,4,0.100000,51.540000
739,"UPTON PARK",541254,183793,"District, Hammersmith & City","London Underground",Yes,,,,3,0.040000,51.530000
740,UXBRIDGE,505661,184161,"Metropolitan, Piccadilly","London Underground",Yes,,,,6,-0.480000,51.550000
741,"VICTORIA LU",528999,179130,"Circle, District, Victoria","London Underground",Yes,,,,1,-0.140000,51.500000
742,"WALTHAMSTOW CENTRAL",537176,188994,"London Overground, Victoria","London Underground",Yes,,Yes,,3,-0.020000,51.580000
743,WANSTEAD,540673,188254,Central,"London Underground",Yes,,,,4,0.030000,51.580000
745,"WARREN STREET",529249,182266,"Northern, Victoria","London Underground",Yes,,,,1,-0.140000,51.520000
746,"WARWICK AVENUE",526112,182039,Bakerloo,"London Underground",Yes,,,,2,-0.180000,51.520000
747,"WATERLOO LU",530968,179962,"Bakerloo, Jubilee, Northern, Waterloo & City","London Underground",Yes,,,,1,-0.110000,51.500000
748,WATFORD,509569,196596,Metropolitan,"London Underground",Yes,,,,7,-0.420000,51.660000
749,"STRATFORD HIGH STREET",538752,184020,DLR,,,,,Yes,"2,3",0.000000,51.540000
750,"ABBEY ROAD",539077,183399,DLR,,,,,Yes,"2,3",0.010000,51.530000
751,"WEMBLEY CENTRAL",518183,185085,"Bakerloo, London Overground","London Underground",Yes,,Yes,,4,-0.300000,51.550000
752,"WEMBLEY PARK",519316,186388,"Metropolitan, Jubilee","London Underground",Yes,,,,4,-0.280000,51.560000
